[2024-10-27 20:15:41] Protocol: TCP, Source: 142.250.77.106, Destination: 172.18.220.6, Size: 92 bytes, TTL: 120, Flags: 
[2024-10-27 20:15:41] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 66 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:41] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 60 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:41] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 153 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 3804 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 836 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 142.250.71.42, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 120, Flags: 
[2024-10-27 20:15:42] Protocol: TCP, Source: 142.250.71.42, Destination: 172.18.220.6, Size: 1295 bytes, TTL: 120, Flags: 
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 60 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 157 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 519 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:42] Protocol: TCP, Source: 142.250.77.106, Destination: 172.18.220.6, Size: 174 bytes, TTL: 120, Flags: 
[2024-10-27 20:15:42] Protocol: TCP, Source: 142.250.77.106, Destination: 172.18.220.6, Size: 60 bytes, TTL: 56, Flags: 
[2024-10-27 20:15:42] Protocol: TCP, Source: 142.250.77.106, Destination: 172.18.220.6, Size: 420 bytes, TTL: 56, Flags: 
[2024-10-27 20:15:42] Protocol: TCP, Source: 20.189.173.12, Destination: 172.18.220.6, Size: 60 bytes, TTL: 102, Flags: DF
[2024-10-27 20:15:43] Protocol: TCP, Source: 52.168.117.169, Destination: 172.18.220.6, Size: 60 bytes, TTL: 106, Flags: DF
