[2024-10-27 20:15:41] Suspicious Packet: Source: 172.18.220.6, Destination: 142.250.77.106, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:41] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 66 bytes
[2024-10-27 20:15:41] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:41] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 571 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 491 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 224.0.0.22, Protocol: 2, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 616 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 142.250.71.42, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 78 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 20.189.173.12, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 142.250.77.106, Protocol: 6, Size: 464 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 142.250.77.106, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 142.250.77.106, Protocol: 6, Size: 54 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 172 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:42] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 210 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
[2024-10-27 20:15:43] Suspicious Packet: Source: 172.18.220.6, Destination: 52.168.117.169, Protocol: 6, Size: 1304 bytes
